Nationality	Applicant_Type	Service_Center	Category	Application_Filed	USCIS_Received_Date	USCIS_Notice_Date	I-140_Filing	Processing_Type	RFE_Received	RFE_Received_Date	Reason_RFE	RFE_Replied_Date	Application_Status	Approval_Denial_Date
India	primary	Nebraska	EB1C	1/29/14	1/29/14	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB1C	5/13/14	5/14/14	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Vermont	EB2	8/19/14	8/19/14	.	concurrent	regular	.	.	.	.	pending	.
South Korea	primary	Nebraska	EB2-NIW	7/3/14	7/7/14	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Nebraska	EB2	4/18/14	4/18/14	.	non-concurrent	regular	.	.	.	.	pending	.
Congo (DR)	primary	Texas	EB2-NIW	7/7/14	7/10/14	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB3	8/11/07	8/14/07	.	non-concurrent	regular	no	.	.	.	pending	.
India	.	Texas	EB2	.	1/24/07	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB2	8/27/07	9/2/07	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB2	1/1/99	1/1/99	.	non-concurrent	regular	.	.	.	.	approved	1/1/99
Pakistan	.	Nebraska	EB3	7/26/07	.	.	concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB3	7/5/07	7/5/07	.	non-concurrent	regular	yes	.	.	.	approved	7/8/08
India	primary	Texas	EB2	4/18/10	4/21/10	.	non-concurrent	premium	no	.	.	.	approved	5/4/10
India	primary	Vermont	EB3	8/10/07	8/15/07	.	concurrent	regular	no	.	.	.	approved	3/9/09
India	primary	Nebraska	EB3	2/18/04	2/18/04	.	non-concurrent	regular	no	.	.	.	approved	2/10/09
India	primary	Nebraska	EB2	10/17/12	7/18/07	.	concurrent	regular	no	.	.	.	approved	3/17/13
India	primary	Nebraska	EB3	7/25/07	7/26/07	.	concurrent	regular	no	.	.	.	approved	2/11/09
India	.	Vermont	EB3	7/27/07	.	.	concurrent	regular	no	.	.	.	pending	.
India	primary	Nebraska	EB3	5/31/07	5/31/07	.	non-concurrent	regular	yes	.	.	12/12/08	approved	12/23/08
India	.	Texas	EB3	12/7/07	.	.	non-concurrent	regular	no	.	.	.	pending	.
India	.	Texas	EB3	.	.	.	non-concurrent	premium	no	.	.	.	pending	.
Unknown	.	California	EB2	.	3/27/06	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB2	6/20/07	6/22/07	.	concurrent	regular	no	.	.	.	denied	5/2/08
India	.	Nebraska	EB3	.	6/23/06	.	non-concurrent	regular	no	.	.	.	pending	.
India	.	Nebraska	EB2	5/21/08	.	.	non-concurrent	regular	no	.	.	.	pending	.
Germany	primary	Texas	EB3	3/30/04	4/2/08	.	non-concurrent	regular	.	.	.	.	pending	.
India	primary	Nebraska	EB3	6/27/07	6/30/07	.	non-concurrent	regular	no	.	.	.	approved	4/16/09
India	primary	Texas	EB3	10/26/06	10/30/06	.	non-concurrent	regular	no	.	.	.	approved	1/16/07
India	primary	Nebraska	EB3	4/21/03	5/4/07	.	non-concurrent	regular	yes	.	.	10/30/07	approved	11/7/07
Afghanistan	.	Nebraska	EB3	.	.	.	non-concurrent	regular	no	.	.	.	pending	.
Nepal	primary	Texas	EB3	7/16/07	7/18/07	.	concurrent	regular	no	.	.	.	approved	6/26/10
India	primary	Nebraska	EB2	8/15/06	12/29/06	.	concurrent	premium	yes	.	.	.	approved	10/17/07
India	primary	Texas	EB3	8/13/07	10/1/07	.	concurrent	regular	no	.	.	.	approved	10/9/08
Philippines	primary	Texas	EB3	6/15/08	6/17/08	.	non-concurrent	regular	no	.	.	.	approved	1/17/09
Italy	primary	Nebraska	EB3	6/30/07	9/7/07	.	concurrent	premium	no	.	.	.	pending	.
